index,user,question,answer,question_class,is_domain_question
0,100,hi,"Hello, how are you?",Greet,0
1,100,Simone,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
2,100,I am Simone,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
3,100,what is software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
4,100,what is structural testing,"Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.",whQuestion,
5,100,what is a software technique,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
6,100,what is system testing,System testing is a level of software testing where a complete and integrated software is tested. The purpose of this test is to evaluate the system’s compliance with the specified requirements.,whQuestion,
7,100,what is unit testing,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.",whQuestion,
8,100,what is integration testing,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.",whQuestion,
9,100,Can you give me an example of equivalence class partitioning,"Here is an example of an application of equivalence partitioning. Consider the following specification: one of the fields of a form is a text box that accepts numeric values from 18 to 25. For this problem, a value that belongs to an invalid equivalence class is 17, whereas a value belonging to a valid equivalence class is, for instance, 20.",Clarify,1
10,100,How do I apply equivalence class partitioning,"The equivalence partitioning criterion divides the input domain in several subsets (partitions) with no intersection and selects a test case for each partition. The idea is that each test case represents all input domain that partition class and, therefore, one test case for each class is enough for this testing criterion. The criterion considers valid and invalid equivalence classes. For example, you can separate invalid and valid inputs into two different subsets or classes.",whQuestion,
11,100,What is verification,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
12,100,what is validation,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
13,100,what is a fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
14,100,what is a error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
15,100,what is a failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
16,100,what is white testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
17,100,what is white box testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
18,100,what is a test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",whQuestion,
19,100,what is a oracle,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.",whQuestion,
20,100,Hello,"Hello, how are you?",Greet,0
21,100,Fine,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
22,100,what is a test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",whQuestion,
23,100,what is a test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",whQuestion,
24,100,what is white-box testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
25,100,what is white box testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
26,100,what is black box testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
27,100,Hi,"Hello, ask me a question!",Greet,0
28,100,What is black-box testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
29,100,what is white box testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
30,100,what is structural testing,"Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.",whQuestion,
31,101,hi,"Hi there, what do you need?",Greet,0
32,101,what is software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
33,101,what is your name,"I am TOB-STT, a software testing teaching assistant!",whQuestion,
34,101,how can I test my software,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
35,101,what can you do for me,You can ask me anything related to testing terminology and usage of software testing criterias,whQuestion,
36,101,list for me all testing terminology,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
37,101,what is a life cycle,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
38,101,what do you know,You can ask me anything related to testing terminology and usage of software testing criterias,whQuestion,
39,101,what is kanban,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
40,101,what is an unit test,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.",whQuestion,
41,101,what is a functional testing,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.",whQuestion,
42,101,what is acceptance testing,Acceptance testing is a level of software testing where a system is tested for acceptability. The purpose of this test is to evaluate the system’s compliance with the business requirements and assess whether it is acceptable for delivery.,whQuestion,
43,101,Regression testing,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
44,101,Alpha testing,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
45,102,Hi,Welcome!,Greet,0
46,102,What is software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
47,103,hi,Welcome!,Greet,0
48,103,Who are you,"I am TOB-STT, a software testing teaching assistant!",whQuestion,
49,103,what can you do,I am here to help you with software testing. I can answer some question you ask me about that topic.,whQuestion,
