index,user,question,question_class,question_cluster,answer_v1,answer_v2,v1_x_v2,is_domain
0,100,hi,Greet,196,"Hello, how are you?",Hi,0.6183379888534546,False
1,100,Simone,Statement,235,"Sorry, I still can't answer that.. Could you ask me differently?",Hi,0.1177027747035026,False
2,100,I am Simone,Statement,235,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?",0.5751727223396301,False
3,100,what is software testing,whQuestion,118,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",0.9988222718238832,True
4,100,what is structural testing,whQuestion,23,"Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.","Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.",1.000000238418579,True
5,100,what is a software technique,whQuestion,83,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,True
6,100,what is system testing,whQuestion,29,System testing is a level of software testing where a complete and integrated software is tested. The purpose of this test is to evaluate the system’s compliance with the specified requirements.,System testing is a level of software testing where a complete and integrated software is tested. The purpose of this test is to evaluate the system’s compliance with the specified requirements.,1.0000001192092896,True
7,100,what is unit testing,whQuestion,136,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.",1.000000238418579,True
8,100,what is integration testing,whQuestion,263,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.",0.9999998807907104,True
9,100,Can you give me an example of equivalence class partitioning,Clarify,213,"Here is an example of an application of equivalence partitioning. Consider the following specification: one of the fields of a form is a text box that accepts numeric values from 18 to 25. For this problem, a value that belongs to an invalid equivalence class is 17, whereas a value belonging to a valid equivalence class is, for instance, 20.","Sorry, I didn't understand your question, could you repeat?",0.0457595139741897,True
10,100,How do I apply equivalence class partitioning,whQuestion,188,"The equivalence partitioning criterion divides the input domain in several subsets (partitions) with no intersection and selects a test case for each partition. The idea is that each test case represents all input domain that partition class and, therefore, one test case for each class is enough for this testing criterion. The criterion considers valid and invalid equivalence classes. For example, you can separate invalid and valid inputs into two different subsets or classes.","Sorry, I didn't quite catch that",0.0570736974477767,True
11,100,What is verification,whQuestion,126,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,True
12,100,what is validation,whQuestion,134,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
13,100,what is a fault,whQuestion,145,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.",0.9519746899604796,True
14,100,what is a error,whQuestion,112,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,1.0000001192092896,True
15,100,what is a failure,whQuestion,75,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,1.0,True
16,100,what is white testing,whQuestion,138,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",1.0,True
17,100,what is white box testing,whQuestion,138,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",1.0,True
18,100,what is a test case,whQuestion,152,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",1.0000001192092896,True
19,100,what is a oracle,whQuestion,181,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.",1.0000001192092896,True
20,100,Hello,Greet,199,"Hello, how are you?",Hi,0.6183379888534546,False
21,100,Fine,Statement,142,"Sorry, I still can't answer that.. Could you ask me differently?",Hi,0.1177027747035026,False
22,100,what is a test case,whQuestion,152,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",1.0000001192092896,True
23,100,what is a test case,whQuestion,152,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",1.0000001192092896,True
24,100,what is white-box testing,whQuestion,138,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",1.0,True
25,100,what is white box testing,whQuestion,138,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",1.0,True
26,100,what is black box testing,whQuestion,163,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",1.0,True
27,100,Hi,Greet,196,"Hello, ask me a question!",Hi,0.556562602519989,False
28,100,What is black-box testing,whQuestion,163,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",1.0,True
29,100,what is white box testing,whQuestion,138,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",1.0,True
30,100,what is structural testing,whQuestion,23,"Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.","Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.",1.000000238418579,True
31,101,hi,Greet,196,"Hi there, what do you need?",Hi,0.5008180737495422,False
32,101,what is software testing,whQuestion,118,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",0.9988222718238832,True
33,101,what is your name,whQuestion,33,"I am TOB-STT, a software testing teaching assistant!","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",0.2772874534130096,False
34,101,how can I test my software,Statement,10,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?",0.5751727223396301,True
35,101,what can you do for me,whQuestion,185,You can ask me anything related to testing terminology and usage of software testing criterias,"Sorry, I didn't understand your question, could you repeat?",0.100151814520359,True
36,101,list for me all testing terminology,Statement,211,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
37,101,what is a life cycle,whQuestion,65,"Sorry, I still can't answer that.. Could you ask me differently?",A cycle is a path that connects the first node to the last. They are usually the loops in CFG.,0.0570785850286483,False
38,101,what do you know,whQuestion,16,You can ask me anything related to testing terminology and usage of software testing criterias,A cycle is a path that connects the first node to the last. They are usually the loops in CFG.,0.095420554280281,True
39,101,what is kanban,whQuestion,26,"Sorry, I still can't answer that.. Could you ask me differently?",A cycle is a path that connects the first node to the last. They are usually the loops in CFG.,0.0570785850286483,False
40,101,what is an unit test,whQuestion,136,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.",1.0,True
41,101,what is a functional testing,whQuestion,78,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.",0.9999998807907104,True
42,101,what is acceptance testing,whQuestion,15,Acceptance testing is a level of software testing where a system is tested for acceptability. The purpose of this test is to evaluate the system’s compliance with the business requirements and assess whether it is acceptable for delivery.,Acceptance testing is a level of software testing where a system is tested for acceptability. The purpose of this test is to evaluate the system’s compliance with the business requirements and assess whether it is acceptable for delivery.,1.0000001192092896,True
43,101,Regression testing,Statement,29,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
44,101,Alpha testing,Statement,72,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",-0.0242419056594371,True
45,102,Hi,Greet,196,Welcome!,Hi,0.1356386989355087,False
46,102,What is software testing,whQuestion,118,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",0.9988222718238832,True
47,103,hi,Greet,196,Welcome!,Hi,0.1356386989355087,False
48,103,Who are you,whQuestion,255,"I am TOB-STT, a software testing teaching assistant!","Sorry, I didn't understand your question, could you repeat?",0.0930212959647178,False
49,103,what can you do,whQuestion,185,I am here to help you with software testing. I can answer some question you ask me about that topic.,I don't understand what you mean,0.0856737717986106,True
50,103,what is test4,whQuestion,15,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,True
51,103,what is test,whQuestion,177,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.",1.0,True
52,103,teste,Statement,111,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?",0.5751727223396301,True
53,103,test,Statement,171,"Sorry, I still can't answer that.. Could you ask me differently?","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.",0.0337043590843677,False
54,103,o que é teste,nAnswer,237,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
55,103,bye,Bye,120,See you!,Bye!,0.6012639403343201,False
56,103,see you,Statement,192,Bye bye!,Bye!,0.8651018142700195,False
57,103,bye bye,Bye,120,Bye bye!,Bye!,0.8651018142700195,False
58,103,What is a error,whQuestion,112,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,1.0000001192092896,True
59,103,what is a fault,whQuestion,145,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.",0.9519746899604796,True
60,103,give a exempla,Statement,4,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?",0.5751727223396301,False
61,103,give me a example,Statement,253,"Sorry, I still can't answer that.. Could you ask me differently?","A defect is an incorrect data definition. In your code, it could be an access of inexistent position in a vector, for instance.",0.0984183549880981,False
62,103,Can you give me a example of equivalence class partitioning criteria,ynQuestion,89,"Consider the specification. A program validates a field in the following way: values less than 10 are rejected, values between 10 and 21 are accepted and values greater or equal to 22 are rejected. In this problem, the values 3, 10 and 22 cover all the existing equivalence classes.",I don't understand what you mean,0.1236341893672943,True
63,103,waht is software testing,Statement,254,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",-0.0304460600018501,True
64,103,what is software testing,whQuestion,118,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",0.9988222718238832,True
65,103,fault,Statement,251,"Sorry, I still can't answer that.. Could you ask me differently?","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.",0.0517853535711765,True
66,103,what is fault,whQuestion,145,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.",0.9519746899604796,True
67,103,what is error,whQuestion,112,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,1.0000001192092896,True
68,103,what is Failure,whQuestion,75,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,1.0,True
69,103,what is teste case,whQuestion,111,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,True
70,103,what is test case,whQuestion,152,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",1.0000001192092896,True
71,103,what is teste coverage,whQuestion,111,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,True
72,103,what is testing coverage,whQuestion,79,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?",0.5751727223396301,True
73,103,what is oracle,whQuestion,181,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.",1.0000001192092896,True
74,103,what id oracle problem,whQuestion,164,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
75,103,what is the aim of testing,whQuestion,15,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",1.0,True
76,103,what is unit testing,whQuestion,136,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.",1.000000238418579,True
77,103,what is a test case,whQuestion,152,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",1.0000001192092896,True
78,103,what is test selection criteria,whQuestion,80,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
79,103,what is test criterion,whQuestion,43,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?",0.5751727223396301,True
80,103,what is equivalence partitioning,whQuestion,173,"Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work.","Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work.",1.0000001192092896,True
81,103,test criterion,Statement,43,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
82,103,what is criterion,whQuestion,1,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?",0.5751727223396301,True
83,103,what is mutant,whQuestion,127,"Sorry, I still can't answer that.. Could you ask me differently?","Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work.",0.0567896477878093,True
84,104,Hello,Greet,199,"Hi there, what do you need?",Hi,0.5008180737495422,False
85,104,I nedd to know what is software testing,Statement,254,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",-0.0304460600018501,True
86,104,I need to know what is software testing,Statement,254,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",-0.0304460600018501,True
87,104,What is software testing,whQuestion,118,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",0.9988222718238832,True
88,104,hi,Greet,196,"Hello, ask me a question!",Hi,0.556562602519989,False
89,104,i need to know what is a test case,Statement,162,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",1.0000001192092896,True
90,104,what is the definition of defect,whQuestion,150,A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.",0.8271481990814209,True
91,104,what is a fault,whQuestion,145,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.",0.9519746899604796,True
92,104,what is a failure,whQuestion,75,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,1.0,True
93,105,hi,Greet,196,Welcome!,Hi,0.1356386989355087,False
94,105,could you help me,Statement,14,"Ok, tell me. What is your question?","Sorry, I didn't understand your question, could you repeat?",0.5220559239387512,True
95,105,how can I test a software,Statement,10,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,True
96,105,How have I test a software,Emphasis,10,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
97,105,no,Statement,232,"Sorry, I still can't answer that.. Could you ask me differently?",Hi,0.1177027747035026,False
98,105,no,Statement,232,"Sorry, I still can't answer that.. Could you ask me differently?",Hi,0.1177027747035026,False
99,105,yes,yAnswer,151,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,False
100,105,hi,Greet,196,"Hello, ask me a question!",Hi,0.556562602519989,False
101,105,what is a error,whQuestion,112,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,1.0000001192092896,True
102,105,what is a fault,whQuestion,145,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.",0.9519746899604796,True
103,105,what is a faiulure,whQuestion,84,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
104,105,what is a failure,whQuestion,75,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,1.0,True
105,105,what is the difference between fault and error,Clarify,175,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. An error is a state of execution of the program which is not expected and may lead to an incorrect result.",An error is a state of execution of the program which is not expected and may lead to an incorrect result.,0.7251092791557312,True
106,105,can you give me a example of equivalente class partitining criteria,ynQuestion,89,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,True
107,105,can you give me a example of equivalence class partitining criteria,ynQuestion,89,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,True
108,105,can you give me a example of equivalence class partining criteria,ynQuestion,89,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
109,105,Can you give me a example of equivalence class partitioning criteria,ynQuestion,89,TOB-STT:,"Sorry, I didn't quite catch that",0.1946263164281845,True
110,105,Can you give me a example of equivalence class partitioning criteria,ynQuestion,89,"Here is an example of an application of equivalence partitioning. Consider the following specification: if you are below 18 years old, you are too young to be insured. If you are between 18 and 30 years old, you will get a 20% discount, but you are not elegible for an insurance if you are past 30. In this problem, the ages 18,.., 30 are in the same equivalence class","Sorry, I didn't quite catch that",0.0741692259907722,True
111,105,what is a software testing,whQuestion,118,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance.",0.9988222718238832,True
112,105,what is a dynamic verification,whQuestion,126,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
113,105,what is a dynamic verification,whQuestion,126,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that",0.269802838563919,True
114,105,what is failures,whQuestion,75,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean,0.3258585929870605,True
