user,question,answer
100,"hi","Hello, how are you?"
100,"Simone","Sorry, I still can't answer that.. Could you ask me differently?"
100,"I am Simone","Sorry, I still can't answer that.. Could you ask me differently?"
100,"what is software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
100,"what is structural testing","Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing."
100,"what is a software technique","Sorry, I still can't answer that.. Could you ask me differently?"
100,"what is system testing","System testing is a level of software testing where a complete and integrated software is tested. The purpose of this test is to evaluate the system’s compliance with the specified requirements."
100,"what is unit testing","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
100,"what is integration testing","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
100,"Can you give me an example of equivalence class partitioning","Here is an example of an application of equivalence partitioning. Consider the following specification: one of the fields of a form is a text box that accepts numeric values from 18 to 25. For this problem, a value that belongs to an invalid equivalence class is 17, whereas a value belonging to a valid equivalence class is, for instance, 20."
100,"How do I apply equivalence class partitioning","The equivalence partitioning criterion divides the input domain in several subsets (partitions) with no intersection and selects a test case for each partition. The idea is that each test case represents all input domain that partition class and, therefore, one test case for each class is enough for this testing criterion. The criterion considers valid and invalid equivalence classes. For example, you can separate invalid and valid inputs into two different subsets or classes."
100,"What is verification","Sorry, I still can't answer that.. Could you ask me differently?"
100,"what is validation","Sorry, I still can't answer that.. Could you ask me differently?"
100,"what is a fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
100,"what is a error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
100,"what is a failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
100,"what is white testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
