question_cluster,question_cluster,absolute_count,relative_count,,0.000%,,,,
118,118,75,0.038520801,,3.852%,,,,FALSE
162,162,69,0.035439137,,7.396%,,,,FALSE
78,78,58,0.02978942,,10.375%,,,,FALSE
112,112,52,0.026707756,,13.046%,,,,FALSE
152,152,49,0.025166923,,15.562%,,,,FALSE
145,145,47,0.024139702,,17.976%,,,,FALSE
75,75,44,0.02259887,,20.236%,,,,FALSE
156,156,38,0.019517206,,22.188%,,,,FALSE
136,136,36,0.018489985,,24.037%,,,,FALSE
138,138,34,0.017462763,,25.783%,,,,FALSE
177,177,34,0.017462763,,27.530%,,,,FALSE
23,23,31,0.015921931,,29.122%,,,,FALSE
10,10,29,0.01489471,,30.611%,,,,FALSE
79,79,29,0.01489471,,32.101%,,,,FALSE
5,5,28,0.014381099,,33.539%,,,,FALSE
263,263,28,0.014381099,,34.977%,,,,FALSE
27,27,26,0.013353878,,36.312%,,,,FALSE
133,133,26,0.013353878,,37.648%,,,,FALSE
175,175,25,0.012840267,,38.932%,,,,FALSE
188,188,25,0.012840267,,40.216%,,,,FALSE
114,114,24,0.012326656,,41.448%,,,,FALSE
82,82,23,0.011813046,,42.630%,,,,FALSE
254,254,23,0.011813046,,43.811%,,,,FALSE
80,80,21,0.010785824,,44.890%,,,,FALSE
59,59,19,0.009758603,,45.865%,,,,FALSE
163,163,19,0.009758603,,46.841%,,,,FALSE
190,190,19,0.009758603,,47.817%,,,,FALSE
15,15,18,0.009244992,,48.742%,,,,FALSE
18,18,18,0.009244992,,49.666%,,,,FALSE
41,41,18,0.009244992,,50.591%,,,,FALSE
45,45,18,0.009244992,,51.515%,,,,FALSE
123,123,18,0.009244992,,52.440%,,,,FALSE
181,181,18,0.009244992,,53.364%,,,,FALSE
8,8,17,0.008731382,,54.237%,,,,FALSE
52,52,17,0.008731382,,55.110%,,,,FALSE
234,234,17,0.008731382,,55.984%,,,,FALSE
264,264,17,0.008731382,,56.857%,,,,FALSE
164,164,16,0.008217771,,57.678%,,,,FALSE
213,213,16,0.008217771,,58.500%,,,,FALSE
3,3,15,0.00770416,,59.271%,,,,FALSE
89,89,15,0.00770416,,60.041%,,,,FALSE
173,173,15,0.00770416,,60.812%,,,,FALSE
101,101,14,0.00719055,,61.531%,,,,FALSE
121,121,14,0.00719055,,62.250%,,,,FALSE
150,150,13,0.006676939,,62.917%,,,,FALSE
14,14,12,0.006163328,,63.534%,,,,FALSE
66,66,12,0.006163328,,64.150%,,,,FALSE
72,72,12,0.006163328,,64.766%,,,,FALSE
149,149,12,0.006163328,,65.383%,,,,FALSE
247,247,12,0.006163328,,65.999%,,,,FALSE
43,43,11,0.005649718,,66.564%,,,,FALSE
61,61,11,0.005649718,,67.129%,,,,FALSE
62,62,11,0.005649718,,67.694%,,,,FALSE
83,83,11,0.005649718,,68.259%,,,,FALSE
140,140,11,0.005649718,,68.824%,,,,FALSE
148,148,11,0.005649718,,69.389%,,,,FALSE
214,214,10,0.005136107,,69.902%,,,,FALSE
239,239,10,0.005136107,,70.416%,,,,FALSE
30,30,9,0.004622496,,70.878%,,,,FALSE
50,50,9,0.004622496,,71.341%,,,,FALSE
127,127,9,0.004622496,,71.803%,,,,FALSE
132,132,9,0.004622496,,72.265%,,,,FALSE
144,144,9,0.004622496,,72.727%,,,,FALSE
186,186,9,0.004622496,,73.190%,,,,FALSE
187,187,9,0.004622496,,73.652%,,,,FALSE
237,237,9,0.004622496,,74.114%,,,,FALSE
16,16,8,0.004108885,,74.525%,,,,FALSE
28,28,8,0.004108885,,74.936%,,,,FALSE
38,38,8,0.004108885,,75.347%,,,,FALSE
67,67,8,0.004108885,,75.758%,,,,FALSE
74,74,8,0.004108885,,76.168%,,,,FALSE
99,99,8,0.004108885,,76.579%,,,,FALSE
111,111,8,0.004108885,,76.990%,,,,FALSE
200,200,8,0.004108885,,77.401%,,,,FALSE
202,202,8,0.004108885,,77.812%,,,,FALSE
1,1,7,0.003595275,,78.172%,,,,FALSE
48,48,7,0.003595275,,78.531%,,,,FALSE
85,85,7,0.003595275,,78.891%,,,,FALSE
87,87,7,0.003595275,,79.250%,,,,FALSE
103,103,7,0.003595275,,79.610%,,,,FALSE
154,154,7,0.003595275,,79.969%,,,,FALSE
174,174,7,0.003595275,,80.329%,,,,FALSE
211,211,7,0.003595275,,80.688%,,,,FALSE
216,216,7,0.003595275,,81.048%,,,,FALSE
224,224,7,0.003595275,,81.407%,,,,FALSE
251,251,7,0.003595275,,81.767%,,,,FALSE
7,7,6,0.003081664,,82.075%,,,,FALSE
29,29,6,0.003081664,,82.383%,,,,FALSE
69,69,6,0.003081664,,82.691%,,,,FALSE
84,84,6,0.003081664,,82.999%,,,,FALSE
95,95,6,0.003081664,,83.308%,,,,FALSE
96,96,6,0.003081664,,83.616%,,,,FALSE
98,98,6,0.003081664,,83.924%,,,,FALSE
100,100,6,0.003081664,,84.232%,,,,FALSE
108,108,6,0.003081664,,84.540%,,,,FALSE
126,126,6,0.003081664,,84.848%,,,,FALSE
153,153,6,0.003081664,,85.157%,,,,FALSE
158,158,6,0.003081664,,85.465%,,,,FALSE
166,166,6,0.003081664,,85.773%,,,,FALSE
180,180,6,0.003081664,,86.081%,,,,FALSE
185,185,6,0.003081664,,86.389%,,,,FALSE
249,249,6,0.003081664,,86.697%,,,,FALSE
104,104,5,0.002568053,,86.954%,,,,FALSE
134,134,5,0.002568053,,87.211%,,,,FALSE
182,182,5,0.002568053,,87.468%,,,,FALSE
205,205,5,0.002568053,,87.725%,,,,FALSE
227,227,5,0.002568053,,87.982%,,,,FALSE
228,228,5,0.002568053,,88.238%,,,,FALSE
238,238,5,0.002568053,,88.495%,,,,FALSE
11,11,4,0.002054443,,88.701%,,,,FALSE
24,24,4,0.002054443,,88.906%,,,,FALSE
39,39,4,0.002054443,,89.111%,,,,FALSE
49,49,4,0.002054443,,89.317%,,include,,
51,51,4,0.002054443,,89.522%,,include,,
63,63,4,0.002054443,,89.728%,,exclude,,"exclude_from_domain(data,63)"
76,76,4,0.002054443,,89.933%,,include,,
77,77,4,0.002054443,,90.139%,,exclude,,"exclude_from_domain(data,77)"
92,92,4,0.002054443,,90.344%,,exclude,,"exclude_from_domain(data,92)"
94,94,4,0.002054443,,90.550%,,exclude,,"exclude_from_domain(data,94)"
97,97,4,0.002054443,,90.755%,,include,,
129,129,4,0.002054443,,90.960%,,include,,
160,160,4,0.002054443,,91.166%,,exclude,,"exclude_from_domain(data,160)"
167,167,4,0.002054443,,91.371%,,exclude,,"exclude_from_domain(data,167)"
168,168,4,0.002054443,,91.577%,,exclude,,"exclude_from_domain(data,168)"
179,179,4,0.002054443,,91.782%,,exclude,,"exclude_from_domain(data,179)"
191,191,4,0.002054443,,91.988%,,exclude,,"exclude_from_domain(data,191)"
203,203,4,0.002054443,,92.193%,,exclude,,"exclude_from_domain(data,203)"
221,221,4,0.002054443,,92.399%,,exclude,,"exclude_from_domain(data,221)"
223,223,4,0.002054443,,92.604%,,exclude,,"exclude_from_domain(data,223)"
236,236,4,0.002054443,,92.809%,,include,,
241,241,4,0.002054443,,93.015%,,exclude,,"exclude_from_domain(data,241)"
243,243,4,0.002054443,,93.220%,,include,,
248,248,4,0.002054443,,93.426%,,include,,
259,259,4,0.002054443,,93.631%,,include,,
261,261,4,0.002054443,,93.837%,,include,,
64,64,3,0.001540832,,93.991%,,exclude,,"exclude_from_domain(data,64)"
65,65,3,0.001540832,,94.145%,,exclude,,"exclude_from_domain(data,65)"
68,68,3,0.001540832,,94.299%,,include,,
73,73,3,0.001540832,,94.453%,,exclude,,"exclude_from_domain(data,73)"
88,88,3,0.001540832,,94.607%,,exclude,,"exclude_from_domain(data,88)"
90,90,3,0.001540832,,94.761%,,exclude,,"exclude_from_domain(data,90)"
105,105,3,0.001540832,,94.915%,,exclude,,"exclude_from_domain(data,105)"
119,119,3,0.001540832,,95.069%,,include,,
122,122,3,0.001540832,,95.223%,,include,,
139,139,3,0.001540832,,95.378%,,exclude,,"exclude_from_domain(data,139)"
141,141,3,0.001540832,,95.532%,,include,,
155,155,3,0.001540832,,95.686%,,exclude,,"exclude_from_domain(data,155)"
159,159,3,0.001540832,,95.840%,,include,,
178,178,3,0.001540832,,95.994%,,exclude,,"exclude_from_domain(data,178)"
192,192,3,0.001540832,,96.148%,,exclude,,"exclude_from_domain(data,192)"
198,198,3,0.001540832,,96.302%,,exclude,,"exclude_from_domain(data,198)"
207,207,3,0.001540832,,96.456%,,exclude,,"exclude_from_domain(data,207)"
208,208,3,0.001540832,,96.610%,,include,,
215,215,3,0.001540832,,96.764%,,include,,
217,217,3,0.001540832,,96.918%,,include,,
218,218,3,0.001540832,,97.072%,,exclude,,"exclude_from_domain(data,218)"
222,222,3,0.001540832,,97.227%,,include,,
233,233,3,0.001540832,,97.381%,,exclude,,"exclude_from_domain(data,233)"
242,242,3,0.001540832,,97.535%,,exclude,,"exclude_from_domain(data,242)"
252,252,3,0.001540832,,97.689%,,include,,
260,260,3,0.001540832,,97.843%,,include,,
265,265,3,0.001540832,,97.997%,,include,,
266,266,3,0.001540832,,98.151%,,include,,
109,109,2,0.001027221,,98.254%,,exclude,,"exclude_from_domain(data,109)"
125,125,2,0.001027221,,98.356%,,exclude,,"exclude_from_domain(data,125)"
128,128,2,0.001027221,,98.459%,,include,,
169,169,2,0.001027221,,98.562%,,include,,
189,189,2,0.001027221,,98.665%,,exclude,,"exclude_from_domain(data,189)"
194,194,2,0.001027221,,98.767%,,exclude,,"exclude_from_domain(data,194)"
197,197,2,0.001027221,,98.870%,,exclude,,"exclude_from_domain(data,197)"
212,212,2,0.001027221,,98.973%,,exclude,,"exclude_from_domain(data,212)"
220,220,2,0.001027221,,99.076%,,include,,
226,226,2,0.001027221,,99.178%,,exclude,,"exclude_from_domain(data,226)"
230,230,2,0.001027221,,99.281%,,exclude,,"exclude_from_domain(data,230)"
231,231,2,0.001027221,,99.384%,,exclude,,"exclude_from_domain(data,231)"
240,240,2,0.001027221,,99.486%,,exclude,,"exclude_from_domain(data,240)"
244,244,2,0.001027221,,99.589%,,merge with 243 and include,,
246,246,2,0.001027221,,99.692%,,exclude,,"exclude_from_domain(data,246)"
250,250,2,0.001027221,,99.795%,,exclude,,"exclude_from_domain(data,250)"
257,257,2,0.001027221,,99.897%,,exclude,,"exclude_from_domain(data,257)"
262,262,2,0.001027221,,100.000%,,exclude,,"exclude_from_domain(data,262)"
